4340	7	6768	5202	11970
4360	74495	6295	4954	11249
4380	207813	6027	4749	10776
4400	322764	10984	4513	15497
4420	354099	15625	4353	19978
4440	274481	15511	4478	19989
4460	30763	15201	4762	19963
4480	11180	14071	4964	19035
4500	8199	13641	5124	18765
4520	6298	13068	5257	18325
4540	4541	12523	5374	17897
4560	3000	12031	5447	17478
4580	1777	11416	5525	16941
4600	948	10776	5558	16334
4620	401	10138	5571	15709
4640	238	9504	5387	14891
4660	184	8990	5104	14094
4680	157	8453	4800	13253
4700	136	7955	4567	12522
4720	30494	7507	4334	11841
4740	146462	7067	4103	11170
4760	251046	8236	3903	12139
4780	314385	16282	3694	19976
4800	279615	16205	3775	19980
4820	71856	15881	4100	19981
4840	13615	14900	4415	19315
4860	9345	14124	4654	18778
4880	6961	13379	4884	18263
4900	4805	13020	5070	18090
4920	3043	12559	5176	17735
4940	1759	11937	5249	17186
4960	885	11202	5330	16532
4980	322	10375	5385	15760
5000	100	9583	5298	14881
5020	78	8987	5008	13995
5040	64	8362	4667	13029
5060	52	7769	4386	12155
5080	4104	7184	4136	11320
5100	105051	6691	3916	10607
5120	209561	6951	3712	10663
5140	284355	16496	3494	19990
5160	263077	16511	3480	19991
5180	95625	16200	3780	19980
5200	19615	15409	4023	19432
5220	11410	14797	4264	19061
5240	8007	14133	4466	18599
5260	5862	13417	4639	18056
5280	4198	12911	4746	17657
5300	2654	12399	4887	17286
5320	1548	11894	5002	16896
5340	750	11328	5067	16395
5360	317	10692	5037	15729
5380	223	10082	4755	14837
5400	184	9515	4425	13940
5420	154	8968	4211	13179
5440	127	8476	3979	12455
5460	74705	8016	3766	11782
5480	172501	7724	3568	11292
5500	256404	11844	3375	15219
5520	263620	16700	3278	19978
5540	201585	16388	3602	19990
5560	28090	15899	3968	19867
5580	13625	14921	4221	19142
5600	9236	14222	4529	18751
5620	6928	13288	4758	18046
5640	4606	12839	4988	17827
5660	2782	12362	5226	17588
5680	1610	11675	5375	17050
5700	767	10955	5542	16497
5720	253	10222	5625	15847
5740	125	9527	5431	14958
5760	103	8893	5058	13951
5780	87	8277	4795	13072
5800	73	7671	4568	12239
5820	60385	7159	4341	11500
5840	165092	6725	4126	10851
5860	263000	9522	3901	13423
5880	292512	16247	3720	19967
5900	236157	16181	3800	19981
5920	32741	15786	4112	19898
5940	12741	14836	4382	19218
5960	8898	14120	4612	18732
5980	6700	13240	4746	17986
6000	4705	12786	4912	17698
6020	3029	12459	5011	17470
6040	1894	11953	5136	17089
6060	1067	11393	5153	16546
6080	472	10761	5196	15957
6100	231	10143	5066	15209
6120	189	9561	4794	14355
6140	172	8935	4473	13408
6160	147	8376	4239	12615
6180	27809	7887	4026	11913
6200	130067	7455	3806	11261
6220	224358	8230	3598	11828
6240	282389	16582	3399	19981
6260	255214	16498	3470	19968
6280	62310	16129	3842	19971
6300	14193	15115	4139	19254
6320	9359	14359	4417	18776
6340	7119	13458	4662	18120
6360	4854	13003	4835	17838
6380	3147	12665	5012	17677
6400	1874	12099	5134	17233
6420	1018	11436	5247	16683
6440	435	10691	5332	16023
6460	134	9953	5273	15226
6480	103	9275	5003	14278
6500	84	8683	4675	13358
6520	74	8133	4445	12578
6540	2810	7616	4211	11827
6560	106190	7125	3982	11107
6580	204226	7156	3761	10917
6600	285397	16415	3574	19989
6620	266211	16450	3527	19977
6640	104705	16162	3805	19967
6660	18548	15292	4109	19401
6680	10677	14691	4342	19033
6700	7618	13717	4572	18289
6720	5675	13020	4750	17770
6740	3832	12816	4885	17701
6760	2506	12402	4993	17395
6780	1466	11899	5071	16970
6800	728	11307	5138	16445
6820	281	10648	5125	15773
6840	215	9992	4901	14893
6860	168	9441	4551	13992
6880	143	8831	4304	13135
6900	128	8274	4077	12351
6920	77650	7830	3874	11704
6940	173248	7517	3676	11193
6960	263537	11864	3466	15330
6980	271892	16638	3340	19978
7000	200796	16394	3590	19984
7020	22915	15812	3932	19744
7040	11269	14712	4243	18955
7060	8179	13903	4566	18469
7080	6118	13358	4782	18140
7100	4214	13011	4946	17957
7120	2543	12532	5121	17653
7140	1438	11910	5265	17175
7160	689	11098	5387	16485
7180	210	10282	5396	15678
7200	121	9487	5147	14634
7220	99	8776	4914	13690
7240	80	8129	4577	12706
7260	69	7537	4365	11902
7280	54024	7021	4136	11157
7300	161419	6593	3930	10523
7320	253440	9273	3717	12990
7340	281141	16451	3536	19987
7360	234697	16369	3611	19980
7380	34219	16060	3897	19957
7400	15555	15220	4121	19341
7420	9733	14477	4368	18845
7440	7094	13594	4579	18173
7460	5438	13026	4761	17787
7480	3518	12741	4933	17674
7500	2166	12302	5058	17360
7520	1192	11714	5151	16865
7540	537	11025	5222	16247
7560	285	10305	5059	15364
7580	239	9669	4803	14472
7600	213	9089	4483	13572
7620	168	8536	4257	12793
7640	31921	8006	4004	12010
7660	131095	7499	3792	11291
7680	222921	8514	3589	12103
7700	279425	16577	3409	19986
7720	251528	16509	3455	19964
7740	64956	16116	3835	19951
7760	14833	15132	4173	19305
7780	9838	14381	4450	18831
7800	7330	13383	4705	18088
7820	5070	12920	4949	17869
7840	3254	12639	5136	17775
7860	2023	12162	5259	17421
7880	1079	11523	5387	16910
7900	442	10804	5521	16325
7920	149	10052	5418	15470
7940	104	9341	5142	14483
7960	84	8727	4796	13523
7980	72	8109	4550	12659
